loan_id,age,education,proof_submitted,loan_amount,asset_cost,no_of_loans,no_of_curr_loans,last_delinq_none,loan_default
1,27,1,Aadhar,504264,820920,2,2,0,0
2,48,1,Aadhar,728556,831444,6,2,0,0
3,30,2,VoterID,642936,826092,0,0,0,1
4,28,1,Aadhar,746556,930924,0,0,0,0
5,29,1,Aadhar,1139880,1902000,0,0,0,0
6,34,2,Aadhar,779784,902040,0,0,0,1
7,27,2,Aadhar,449268,847896,0,0,0,0
8,27,2,Aadhar,582036,905604,0,0,0,1
9,30,1,Aadhar,712956,866292,0,0,0,0
10,46,2,Aadhar,554988,761724,3,0,0,1
11,32,2,Aadhar,654156,756348,0,0,0,1
12,30,1,Driving,639636,840084,3,3,0,0
13,30,2,Aadhar,615636,929004,0,0,0,0
14,36,2,Aadhar,523464,779244,0,0,0,0
15,46,2,Aadhar,667356,808884,7,3,0,0
16,25,2,Aadhar,532188,722976,0,0,0,0
17,38,2,Aadhar,663108,784920,0,0,0,0
18,46,1,VoterID,622536,872448,5,3,0,1
19,40,2,Aadhar,602916,764868,4,2,0,0
20,38,2,Aadhar,577740,897240,13,4,0,0
21,34,2,Aadhar,588588,857136,0,0,0,1
22,41,1,Aadhar,710556,896244,0,0,0,1
23,34,1,Aadhar,429228,828744,5,4,0,1
24,44,2,Aadhar,615636,818520,2,0,0,0
25,32,1,Aadhar,699108,805092,10,8,0,0
26,28,1,Aadhar,696156,843012,0,0,0,1
27,47,2,PAN,701364,924468,0,0,0,0
28,33,1,Aadhar,904212,1317648,2,0,0,0
29,33,2,Aadhar,627636,841380,0,0,0,1
30,27,2,Aadhar,532188,953868,3,3,0,1
31,42,1,Aadhar,496728,721548,9,6,0,0
32,26,1,Aadhar,873780,1264860,0,0,0,0
33,44,1,Aadhar,606636,939036,12,3,0,0
34,45,2,VoterID,636936,846984,0,0,0,1
35,27,2,Aadhar,588036,1262640,0,0,0,0
36,28,1,Aadhar,739764,1236000,0,0,0,0
37,29,2,Aadhar,742956,1072104,0,0,0,1
38,34,1,Aadhar,698148,884304,0,0,0,0
39,36,2,Driving,766584,1290888,2,0,0,0
40,41,2,Aadhar,966396,1307400,0,0,0,0
41,33,1,Aadhar,830028,1165872,2,2,0,1
42,38,2,Aadhar,560988,707244,3,2,0,0
43,30,2,Aadhar,446868,704136,0,0,0,0
44,45,1,Aadhar,673908,767352,2,0,0,0
45,34,2,PAN,750564,859200,5,3,0,1
46,37,2,Aadhar,520728,843792,2,0,0,0
47,34,2,Aadhar,630636,782496,5,2,0,0
48,40,1,Aadhar,664956,886200,0,0,0,1
49,37,1,VoterID,577740,832056,0,0,0,0
50,28,1,Aadhar,401808,571692,0,0,0,0
51,31,2,Aadhar,544188,674592,2,2,0,0
52,40,2,Aadhar,618636,825084,2,2,0,0
53,43,1,VoterID,677508,846000,0,0,0,0
54,47,2,Aadhar,699108,910260,0,0,0,0
55,47,2,Aadhar,1709916,2195352,2,2,0,0
56,30,2,Aadhar,437868,749100,2,2,0,1
57,42,1,Aadhar,801228,955200,3,3,0,1
58,38,1,Aadhar,507360,861876,0,0,0,1
59,48,1,Aadhar,703908,801000,4,2,0,1
60,38,2,Aadhar,648936,825528,0,0,0,0
61,33,2,VoterID,630936,871632,0,0,0,0
62,29,2,Aadhar,675108,821412,0,0,0,1
63,41,1,Aadhar,616596,805560,9,7,0,0
64,45,2,Aadhar,445668,888000,2,0,0,0
65,46,2,Aadhar,469668,763800,0,0,0,0
66,37,2,Aadhar,615636,882216,0,0,0,0
67,32,1,Aadhar,668556,850500,2,2,0,1
68,29,2,Aadhar,514728,813168,0,0,0,0
69,44,1,Aadhar,624936,814800,2,2,0,0
70,38,2,VoterID,715188,1247304,0,0,0,1
71,37,1,Aadhar,968232,1215600,3,0,0,1
72,41,2,Aadhar,258000,1082400,16,7,0,1
73,47,2,VoterID,1063920,1912404,0,0,0,0
74,47,2,Aadhar,790584,896592,0,0,0,0
75,47,2,Aadhar,1385016,2058408,0,0,0,1
76,49,1,VoterID,648156,748452,4,2,0,1
77,32,2,Aadhar,636936,833244,2,2,0,1
78,29,2,Aadhar,640800,815460,0,0,0,1
79,36,2,VoterID,455268,873984,0,0,0,0
80,31,1,Aadhar,266352,818808,2,2,0,0
81,37,1,Aadhar,520728,666000,6,4,0,1
82,40,2,Aadhar,649356,805284,4,0,0,0
83,31,1,Aadhar,651108,790776,4,4,0,0
84,29,2,Aadhar,1070256,1786476,0,0,0,0
85,41,1,Aadhar,685356,820812,3,2,0,1
86,27,1,Aadhar,527028,813636,0,0,0,1
87,35,1,Aadhar,695532,868104,8,3,0,0
88,38,1,Aadhar,780276,868608,8,7,0,0
89,49,2,Aadhar,676956,817560,0,0,0,1
90,32,2,Aadhar,568188,776400,0,0,0,1
91,46,2,PAN,696156,998880,0,0,0,1
92,43,,Aadhar,722556,997620,2,2,0,0
93,49,2,VoterID,1169880,1886280,0,0,0,1
94,37,1,Aadhar,333948,902400,4,3,0,1
95,37,2,Aadhar,508728,1197960,2,2,0,0
96,46,2,Aadhar,865476,1044000,0,0,0,0
97,45,2,Aadhar,640716,924156,0,0,0,1
98,46,2,Aadhar,633636,1076676,2,0,0,0
99,47,2,Aadhar,749124,915960,3,2,0,0
100,49,2,Aadhar,619836,808872,16,8,0,0
101,40,2,VoterID,571740,877980,6,3,0,1
102,30,2,Aadhar,767364,889224,0,0,0,0
103,38,,Aadhar,630636,816012,12,3,0,1
104,33,1,Driving,1157880,1885104,0,0,0,1
105,44,1,Aadhar,496428,805380,0,0,0,1
106,32,2,PAN,867732,1238700,0,0,0,1
107,46,2,Aadhar,672108,874128,3,3,0,1
108,31,2,Aadhar,700956,906000,6,2,0,1
109,26,1,VoterID,567564,835824,0,0,0,0
110,28,2,Aadhar,622536,807840,0,0,0,0
